mcc	acc	f1	f1_weighted	precision	recall	auroc	tp	tn	fp	fn	name	variables	representation	fold	run
-0.04666698146519918	0.4728132387706856	0.49318181818181817	0.4707061443488443	0.45020746887966806	0.5452261306532663	0.4659009332376166	217	183	181	265	lightgbm	{'n_estimators': 464, 'class_weight': 'balanced', 'num_leaves': 842, 'max_depth': 5, 'subsample': 0.5449858289860279, 'colsample_bytree': 0.7940243627837316, 'min_split_gain': 0.000319927107155284, 'reg_alpha': 0.0002656575503349474, 'learning_rate': 2.8301795972190373e-05, 'verbose': -1, 'n_jobs': 10}	chemberta-2	4	5
0.009650631303138653	0.5017709563164109	0.5115740740740741	0.5009678093193974	0.4742489270386266	0.5552763819095478	0.49763293080099835	221	204	177	245	lightgbm	{'n_estimators': 289, 'class_weight': 'balanced', 'num_leaves': 310, 'max_depth': 3, 'subsample': 0.8292628136224613, 'colsample_bytree': 0.6670104963000281, 'min_split_gain': 2.432840107526005e-09, 'reg_alpha': 2.35765050760878e-09, 'learning_rate': 1.7578558502936746e-05, 'verbose': -1, 'n_jobs': 10}	esm2-8m	0	6
-0.019592960543016992	0.4805194805194805	0.5482546201232033	0.4639620019496816	0.4643478260869565	0.6691729323308271	0.4716842329036878	267	140	132	308	lightgbm	{'n_estimators': 289, 'class_weight': 'balanced', 'num_leaves': 310, 'max_depth': 3, 'subsample': 0.8292628136224613, 'colsample_bytree': 0.6670104963000281, 'min_split_gain': 2.432840107526005e-09, 'reg_alpha': 2.35765050760878e-09, 'learning_rate': 1.7578558502936746e-05, 'verbose': -1, 'n_jobs': 10}	esm2-8m	1	6
0.000700899073179676	0.4911452184179457	0.5496342737722049	0.478526819772997	0.471326164874552	0.6591478696741855	0.5016167651271034	263	153	136	295	lightgbm	{'n_estimators': 289, 'class_weight': 'balanced', 'num_leaves': 310, 'max_depth': 3, 'subsample': 0.8292628136224613, 'colsample_bytree': 0.6670104963000281, 'min_split_gain': 2.432840107526005e-09, 'reg_alpha': 2.35765050760878e-09, 'learning_rate': 1.7578558502936746e-05, 'verbose': -1, 'n_jobs': 10}	esm2-8m	2	6
0.00347944102532443	0.5017709563164109	0.48661800486618007	0.5021880100260502	0.4728132387706856	0.5012531328320802	0.5083971088435375	200	225	199	223	lightgbm	{'n_estimators': 289, 'class_weight': 'balanced', 'num_leaves': 310, 'max_depth': 3, 'subsample': 0.8292628136224613, 'colsample_bytree': 0.6670104963000281, 'min_split_gain': 2.432840107526005e-09, 'reg_alpha': 2.35765050760878e-09, 'learning_rate': 1.7578558502936746e-05, 'verbose': -1, 'n_jobs': 10}	esm2-8m	3	6
-0.014929423925459274	0.49645390070921985	0.44386422976501305	0.49475013167215054	0.46195652173913043	0.4271356783919598	0.5099857546661881	170	250	228	198	lightgbm	{'n_estimators': 289, 'class_weight': 'balanced', 'num_leaves': 310, 'max_depth': 3, 'subsample': 0.8292628136224613, 'colsample_bytree': 0.6670104963000281, 'min_split_gain': 2.432840107526005e-09, 'reg_alpha': 2.35765050760878e-09, 'learning_rate': 1.7578558502936746e-05, 'verbose': -1, 'n_jobs': 10}	esm2-8m	4	6
0.5617591465359755	0.7768595041322314	0.779463243873979	0.776669745321901	0.7276688453159041	0.8391959798994975	0.8509026200042529	334	324	64	125	lightgbm	{'n_estimators': 300, 'class_weight': 'balanced', 'num_leaves': 17, 'max_depth': 7, 'subsample': 0.5174296604953676, 'colsample_bytree': 0.6859498882502868, 'min_split_gain': 2.75900887283193e-07, 'reg_alpha': 8.539111123611211e-05, 'learning_rate': 0.00034251355413930163, 'verbose': -1, 'n_jobs': 10}	ecfp-8-1024	0	7
0.5399960364596736	0.7697756788665879	0.7619047619047619	0.7699645808736717	0.7428571428571429	0.7819548872180451	0.8513694951664877	312	340	87	108	lightgbm	{'n_estimators': 300, 'class_weight': 'balanced', 'num_leaves': 17, 'max_depth': 7, 'subsample': 0.5174296604953676, 'colsample_bytree': 0.6859498882502868, 'min_split_gain': 2.75900887283193e-07, 'reg_alpha': 8.539111123611211e-05, 'learning_rate': 0.00034251355413930163, 'verbose': -1, 'n_jobs': 10}	ecfp-8-1024	1	7
0.5198317550748383	0.7579693034238488	0.7562425683709869	0.7580563486844268	0.7194570135746606	0.7969924812030075	0.8348466031149303	318	324	81	124	lightgbm	{'n_estimators': 300, 'class_weight': 'balanced', 'num_leaves': 17, 'max_depth': 7, 'subsample': 0.5174296604953676, 'colsample_bytree': 0.6859498882502868, 'min_split_gain': 2.75900887283193e-07, 'reg_alpha': 8.539111123611211e-05, 'learning_rate': 0.00034251355413930163, 'verbose': -1, 'n_jobs': 10}	ecfp-8-1024	2	7
0.5376706897600304	0.7674144037780402	0.7640718562874251	0.7675583784662272	0.731651376146789	0.7994987468671679	0.8653553526673827	319	331	80	117	lightgbm	{'n_estimators': 300, 'class_weight': 'balanced', 'num_leaves': 17, 'max_depth': 7, 'subsample': 0.5174296604953676, 'colsample_bytree': 0.6859498882502868, 'min_split_gain': 2.75900887283193e-07, 'reg_alpha': 8.539111123611211e-05, 'learning_rate': 0.00034251355413930163, 'verbose': -1, 'n_jobs': 10}	ecfp-8-1024	3	7
